label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
88,3.0,312,2,738,145,113981,0.75,0.21138211382113822,0.0001426872770511296,1.887791945965586e-05
89,0.0,102,1,739,228,113898,0.0,0.13802435723951287,0.0,3.927798741440865e-06
90,0.0,2,2,738,92,114034,0.0,0.0013550135501355014,0.0,1.906372698912834e-07
91,0.0,3,1,739,26,114100,0.0,0.0040595399188092015,0.0,1.0112586799703365e-06
92,2.0,62,2,738,220,113906,0.5,0.04200542005420054,4.132231404958678e-05,2.4741293857933894e-06
93,3.0,137,2,738,306,113820,0.75,0.09281842818428185,3.203895937459951e-05,3.933512724482987e-06
94,0.0,0,1,739,14,114112,0.0,0.0,0.0,0.0
95,0.0,222,1,739,146,113980,0.0,0.3004059539918809,0.0,1.3340480305364796e-05
96,0.0,38,1,739,281,113845,0.0,0.05142083897158322,0.0,1.1878546859851433e-06
97,9.0,825,7,733,2016,112110,0.1836734693877551,0.16078737088286885,2.2144274376417234e-06,3.65022023437865e-06
98,0.0,90,1,739,38,114088,0.0,0.12178619756427606,0.0,2.0759598315612325e-05
99,0.0,54,1,739,236,113890,0.0,0.07307171853856563,0.0,2.0090750664855027e-06
100,2.0,513,2,738,571,113555,0.5,0.3475609756097561,6.1341978462831365e-06,7.911794442018383e-06
101,0.0,129,2,738,140,113986,0.0,0.08739837398373984,0.0,8.083699501943848e-06
102,0.0,67,1,739,51,114075,0.0,0.09066305818673884,0.0,1.1516331275003975e-05
103,0.0,56,1,739,55,114071,0.0,0.07577807848443843,0.0,8.925860369259655e-06
104,0.0,104,1,739,50,114076,0.0,0.14073071718538566,0.0,1.823345839615695e-05
105,2.0,63,2,738,168,113958,0.5,0.042682926829268296,7.086167800453515e-05,3.2906860422260833e-06
106,0.0,6,1,739,625,113501,0.0,0.008119079837618403,0.0,8.458075259248817e-08
107,3.0,291,2,738,339,113787,0.75,0.19715447154471544,2.6104889445793198e-05,7.543981998347946e-06
108,3.0,334,3,737,1557,112569,0.3333333333333333,0.15106286748077793,1.237496643290355e-06,1.9056320401514618e-06
109,0.0,8,1,739,4,114122,0.0,0.010825439783491205,0.0,1.7525104712500656e-05
110,0.0,19,1,739,5,114121,0.0,0.02571041948579161,0.0,3.329799072913837e-05
111,9.0,714,2,738,926,113200,2.25,0.483739837398374,1.0495920585532423e-05,6.811469216738279e-06
112,0.0,40,1,739,82,114044,0.0,0.05412719891745602,0.0,4.27733925545211e-06
113,17.0,1274,4,736,2680,111446,1.0625,0.4327445652173913,2.366896858988639e-06,4.265501985969512e-06
114,0.0,4,1,739,28,114098,0.0,0.005412719891745603,0.0,1.2520565028058587e-06
115,0.0,14,1,739,6,114120,0.0,0.018944519621109608,0.0,2.0446313821708143e-05
116,0.0,111,2,738,204,113922,0.0,0.07520325203252033,0.0,4.776229762985407e-06
117,0.0,0,2,738,22,114104,0.0,0.0,0.0,0.0
118,5.0,329,3,737,260,113866,0.5555555555555556,0.14880144730890998,7.396449704142012e-05,1.1112927611267766e-05
119,1.0,76,2,738,34,114092,0.25,0.051490514905149054,0.0008650519031141869,1.9592032023691924e-05
120,0.0,95,1,739,501,113625,0.0,0.12855209742895804,0.0,1.6688295576064593e-06
121,0.0,61,1,739,26,114100,0.0,0.08254397834912043,0.0,2.0562259826063507e-05
122,0.0,14,1,739,15,114111,0.0,0.018944519621109608,0.0,8.179170573681182e-06
123,7.0,560,4,736,504,113622,0.4375,0.19021739130434784,2.755731922398589e-05,9.779013845127802e-06
124,0.0,8,1,739,4,114122,0.0,0.010825439783491205,0.0,1.7525104712500656e-05
125,0.0,33,1,739,29,114097,0.0,0.044654939106901215,0.0,9.973365070797292e-06
126,0.0,62,1,739,49,114077,0.0,0.08389715832205684,0.0,1.1091684760722842e-05
127,0.0,37,1,739,2183,111943,0.0,0.05006765899864682,0.0,1.5140877538008524e-07
128,0.0,87,1,739,18,114108,0.0,0.11772665764546685,0.0,4.235753262990617e-05
129,2.0,66,3,737,53,114073,0.2222222222222222,0.029850746268656716,0.000711997152011392,1.0916544834166933e-05
130,0.0,99,1,739,90,114036,0.0,0.13396481732070364,0.0,9.646076677540426e-06
131,0.0,77,1,739,96,114030,0.0,0.10419485791610285,0.0,7.0339676693267856e-06
132,0.0,9,1,739,58,114068,0.0,0.012178619756427604,0.0,1.3603500876065457e-06
133,0.0,16,1,739,50,114076,0.0,0.02165087956698241,0.0,2.8051474455626074e-06
134,0.0,137,2,738,118,114008,0.0,0.09281842818428185,0.0,1.0183644561368872e-05
135,0.0,4,1,739,37,114089,0.0,0.005412719891745603,0.0,9.475769627931536e-07
136,0.0,1,1,739,166,113960,0.0,0.0013531799729364006,0.0,5.2861498644631175e-08
137,4.0,49,3,737,422,113704,0.4444444444444444,0.022161917684305744,2.246131039284832e-05,1.021193133714112e-06
138,0.0,3,1,739,8,114118,0.0,0.0040595399188092015,0.0,3.2860723111165634e-06
139,0.0,143,1,739,83,114043,0.0,0.19350473612990526,0.0,1.5107385514806347e-05
140,2.0,48,2,738,210,113916,0.5,0.032520325203252036,4.5351473922902495e-05,2.0064909983797587e-06
141,0.0,346,1,739,90,114036,0.0,0.46820027063599456,0.0,3.3712550812414016e-05
142,6.0,573,3,737,157,113969,0.6666666666666666,0.2591587516960651,0.00024341758286340216,3.202345838484518e-05
143,0.0,0,1,739,18,114108,0.0,0.0,0.0,0.0
144,0.0,8,1,739,126,114000,0.0,0.010825439783491205,0.0,5.56947925368978e-07
145,6.0,507,2,738,345,113781,1.5,0.3434959349593496,5.040957781978576e-05,1.2915734765833525e-05
146,0.0,4,1,739,23,114103,0.0,0.005412719891745603,0.0,1.5241759066655642e-06
147,0.0,21,1,739,11,114115,0.0,0.028416779431664412,0.0,1.672953519774709e-05
148,0.0,0,1,739,34,114092,0.0,0.0,0.0,0.0
149,0.0,81,1,739,41,114085,0.0,0.10960757780784844,0.0,1.731699834419565e-05
150,0.0,29,1,739,30,114096,0.0,0.03924221921515562,0.0,8.472397513205254e-06
151,0.0,23,1,739,20,114106,0.0,0.03112313937753721,0.0,1.0078348202548508e-05
152,0.0,3,1,739,77,114049,0.0,0.0040595399188092015,0.0,3.416166644252818e-07
153,0.0,0,1,739,26,114100,0.0,0.0,0.0,0.0
154,2.0,134,2,738,62,114064,0.5,0.09078590785907859,0.0005202913631633715,1.8948049538685696e-05
155,1.0,135,2,738,223,113903,0.25,0.09146341463414634,2.0108990729755272e-05,5.314883417638539e-06
156,0.0,25,1,739,6,114120,0.0,0.03382949932341001,0.0,3.651127468162168e-05
157,0.0,1,1,739,7,114119,0.0,0.0013531799729364006,0.0,1.2518261013253082e-06
158,0.0,14,1,739,39,114087,0.0,0.018944519621109608,0.0,3.146496612009773e-06
159,4.0,399,3,737,78,114048,0.4444444444444444,0.18046132971506107,0.0006574621959237344,4.485290943624277e-05
160,3.0,167,2,738,195,113931,0.75,0.11314363143631437,7.889546351084812e-05,7.516920385235418e-06
161,0.0,39,1,739,4,114122,0.0,0.05277401894451962,0.0,8.54348854734407e-05
162,0.0,74,1,739,9,114117,0.0,0.10013531799729364,0.0,7.20508094518978e-05
163,0.0,135,1,739,128,113998,0.0,0.18267929634641408,0.0,9.251807049246478e-06
164,8.0,333,4,736,357,113769,0.5,0.11311141304347826,6.277020612166436e-05,8.198833682670126e-06
165,0.0,136,1,739,41,114085,0.0,0.18403247631935046,0.0,2.9075454010007515e-05
166,14.0,1282,5,735,2496,111630,0.56,0.348843537414966,2.2471852399737014e-06,4.601108974933216e-06
167,78.0,477,7,733,309,113817,1.5918367346938775,0.09296433443773143,0.0008169164545825871,1.3562906423366891e-05
168,0.0,44,1,739,326,113800,0.0,0.05953991880920163,0.0,1.1860221893969616e-06
169,0.0,8,1,739,9,114117,0.0,0.010825439783491205,0.0,7.789276697502466e-06
170,0.0,226,2,738,971,113155,0.0,0.15311653116531165,0.0,2.0569108084792597e-06
171,0.0,6,1,739,10,114116,0.0,0.008119079837618403,0.0,5.257807844649304e-06
172,3.0,62,2,738,84,114042,0.75,0.04200542005420054,0.00042517006802721087,6.472135161565372e-06
173,0.0,33,1,739,8,114118,0.0,0.044654939106901215,0.0,3.61467954222822e-05
174,0.0,77,1,739,44,114082,0.0,0.10419485791610285,0.0,1.53398432706299e-05
175,0.0,49,1,739,75,114051,0.0,0.06630581867388363,0.0,5.7284314327216185e-06
176,0.0,72,1,739,103,114023,0.0,0.09742895805142084,0.0,6.1305975655226775e-06
177,0.0,87,1,739,38,114088,0.0,0.11772665764546685,0.0,2.0067611705091914e-05
178,0.0,62,1,739,49,114077,0.0,0.08389715832205684,0.0,1.1091684760722842e-05
179,3.0,611,4,736,1107,113019,0.1875,0.20754076086956522,2.4480822947344198e-06,4.8836229845293936e-06
180,0.0,24,1,739,16,114110,0.0,0.03247631935047361,0.0,1.3145210761545877e-05
181,0.0,7,1,739,3,114123,0.0,0.009472259810554804,0.0,2.0445776340731784e-05
